# * INTENSITY STEADY STATE * 
#
# file generated by ** ns_ISS.H ** 
#
# ------------- 
# ome (eV)	Ome	|q0|²	|q1|²	|q2|²	N
#
  0.58646 	0          	0          	0          	0          	1          
  0.58679 	0          	0          	0          	0          	1          
  0.58712 	0          	0          	0          	0          	1          
  0.58745 	0          	0          	0          	0          	1          
  0.58778 	0          	0          	0          	0          	1          
  0.58811 	0          	0          	0          	0          	1          
  0.58844 	0          	0          	0          	0          	1          
  0.58877 	0          	0          	0          	0          	1          
  0.5891  	0          	0          	0          	0          	1          
  0.58943 	0          	0          	0          	0          	1          
  0.58976 	0          	0          	0          	0          	1          
  0.59009 	0          	0          	0          	0          	1          
  0.59042 	0          	0          	0          	0          	1          
  0.59075 	0          	0          	0          	0          	1          
  0.59108 	0          	0          	0          	0          	1          
  0.59141 	0          	0          	0          	0          	1          
  0.59174 	0          	0          	0          	0          	1          
  0.59207 	0          	0          	0          	0          	1          
  0.5924  	0          	0          	0          	0          	1          
  0.59273 	0          	0          	0          	0          	1          
  0.59306 	0          	0          	0          	0          	1          
  0.59339 	0          	0          	0          	0          	1          
  0.59372 	0          	0          	0          	0          	1          
  0.59405 	0          	0          	0          	0          	1          
  0.59438 	0          	0          	0          	0          	1          
  0.59471 	0          	0          	0          	0          	1          
  0.59504 	0          	0          	0          	0          	1          
  0.59537 	0          	0          	0          	0          	1          
  0.5957  	0          	0          	0          	0          	1          
  0.59603 	0          	0          	0          	0          	1          
  0.59636 	0          	0          	0          	0          	1          
  0.59669 	0          	0          	0          	0          	1          
  0.59702 	0          	0          	0          	0          	1          
  0.59735 	0          	0          	0          	0          	1          
  0.59768 	0          	0          	0          	0          	1          
  0.59801 	0          	0          	0          	0          	1          
  0.59834 	0          	0          	0          	0          	1          
  0.59867 	0          	0          	0          	0          	1          
  0.599   	0          	0          	0          	0          	1          
  0.59933 	0          	0          	0          	0          	1          
  0.59966 	0          	0          	0          	0          	1          
  0.59999 	0          	0          	0          	0          	1          
  0.60032 	0          	0          	0          	0          	1          
  0.60065 	0          	0          	0          	0          	1          
  0.60098 	0          	0          	0          	0          	1          
  0.60131 	0          	0          	0          	0          	1          
  0.60164 	0          	0          	0          	0          	1          
  0.60197 	0          	0          	0          	0          	1          
  0.6023  	0          	0          	0          	0          	1          
  0.60263 	0          	0          	0          	0          	1          
  0.60296 	0          	0          	0          	0          	1          
  0.60329 	0          	0          	0          	0          	1          
  0.60362 	0          	0          	0          	0          	1          
  0.60395 	0          	0          	0          	0          	1          
  0.60428 	0          	0          	0          	0          	1          
  0.60461 	0          	0          	0          	0          	1          
  0.60494 	0          	0          	0          	0          	1          
  0.60527 	0          	0          	0          	0          	1          
  0.6056  	0          	0          	0          	0          	1          
  0.60593 	0          	0          	0          	0          	1          
  0.60626 	0          	0          	0          	0          	1          
  0.60659 	0          	0          	0          	0          	1          
  0.60692 	0          	0          	0          	0          	1          
  0.60725 	0          	0          	0          	0          	1          
  0.60758 	0          	0          	0          	0          	1          
  0.60791 	0          	0          	0          	0          	1          
  0.60824 	0          	0          	0          	0          	1          
  0.60857 	0          	0          	0          	0          	1          
  0.6089  	0          	0          	0          	0          	1          
  0.60923 	0          	0          	0          	0          	1          
  0.60956 	0          	0          	0          	0          	1          
  0.60989 	0          	0          	0          	0          	1          
  0.61022 	0          	0          	0          	0          	1          
  0.61055 	0          	0          	0          	0          	1          
  0.61088 	0          	0          	0          	0          	1          
  0.61121 	0          	0          	0          	0          	1          
  0.61154 	0          	0          	0          	0          	1          
  0.61187 	0          	0          	0          	0          	1          
  0.6122  	0          	0          	0          	0          	1          
  0.61253 	0          	0          	0          	0          	1          
  0.61286 	0          	0          	0          	0          	1          
  0.61319 	0          	0          	0          	0          	1          
  0.61352 	0          	0          	0          	0          	1          
  0.61385 	0          	0          	0          	0          	1          
  0.61418 	0          	0          	0          	0          	1          
  0.61451 	0          	0          	0          	0          	1          
  0.61484 	0          	0          	0          	0          	1          
  0.61517 	0          	0          	0          	0          	1          
  0.6155  	0          	0          	0          	0          	1          
  0.61583 	0          	0          	0          	0          	1          
  0.61616 	0          	0          	0          	0          	1          
  0.61649 	0          	0          	0          	0          	1          
  0.61682 	0          	0          	0          	0          	1          
  0.61715 	0          	0          	0          	0          	1          
  0.61748 	0          	0          	0          	0          	1          
  0.61781 	0          	0          	0          	0          	1          
  0.61814 	0          	0          	0          	0          	1          
  0.61847 	0          	0          	0          	0          	1          
  0.6188  	0          	0          	0          	0          	1          
  0.61913 	0          	0          	0          	0          	1          
  0.61946 	0          	0          	0          	0          	1          
  0.61979 	0          	0          	0          	0          	1          
  0.62012 	0          	0          	0          	0          	1          
  0.62045 	0          	0          	0          	0          	1          
  0.62078 	0          	0          	0          	0          	1          
  0.62111 	0          	0          	0          	0          	1          
  0.62144 	0          	0          	0          	0          	1          
  0.62177 	0          	0          	0          	0          	1          
  0.6221  	0          	0          	0          	0          	1          
  0.62243 	0          	0          	0          	0          	1          
  0.62276 	0          	0          	0          	0          	1          
  0.62309 	0          	0          	0          	0          	1          
  0.62342 	0          	0          	0          	0          	1          
  0.62375 	0          	0          	0          	0          	1          
  0.62408 	0          	0          	0          	0          	1          
  0.62441 	0          	0          	0          	0          	1          
  0.62474 	0          	0          	0          	0          	1          
  0.62507 	0          	0          	0          	0          	1          
  0.6254  	0          	0          	0          	0          	1          
  0.62573 	0          	0          	0          	0          	1          
  0.62606 	0          	0          	0          	0          	1          
  0.62639 	0          	0          	0          	0          	1          
  0.62672 	0          	0          	0          	0          	1          
  0.62705 	0          	0          	0          	0          	1          
  0.62738 	0          	0          	0          	0          	1          
  0.62771 	0          	0          	0          	0          	1          
  0.62804 	0          	0          	0          	0          	1          
  0.62837 	0          	0          	0          	0          	1          
  0.6287  	0          	0          	0          	0          	1          
  0.62903 	0          	0          	0          	0          	1          
  0.62936 	0          	0          	0          	0          	1          
  0.62969 	0          	0          	0          	0          	1          
  0.63002 	0          	0          	0          	0          	1          
  0.63035 	0          	0          	0          	0          	1          
  0.63068 	0          	0          	0          	0          	1          
  0.63101 	0          	0          	0          	0          	1          
  0.63134 	0          	0          	0          	0          	1          
  0.63167 	0          	0          	0          	0          	1          
  0.632   	0          	0          	0          	0          	1          
  0.63233 	0          	0          	0          	0          	1          
  0.63266 	0          	0          	0          	0          	1          
  0.63299 	0          	0          	0          	0          	1          
  0.63332 	0          	0          	0          	0          	1          
  0.63365 	0          	0          	0          	0          	1          
  0.63398 	0          	0          	0          	0          	1          
  0.63431 	0          	0          	0          	0          	1          
  0.63464 	0          	0          	0          	0          	1          
  0.63497 	0          	0          	0          	0          	1          
  0.6353  	0          	0          	0          	0          	1          
  0.63563 	0          	0          	0          	0          	1          
  0.63596 	0          	0          	0          	0          	1          
  0.63629 	0          	0          	0          	0          	1          
  0.63662 	0          	0          	0          	0          	1          
  0.63695 	0          	0          	0          	0          	1          
  0.63728 	0          	0          	0          	0          	1          
  0.63761 	0          	0          	0          	0          	1          
  0.63794 	0          	0          	0          	0          	1          
  0.63827 	0          	0          	0          	0          	1          
  0.6386  	0          	0          	0          	0          	1          
  0.63893 	0          	0          	0          	0          	1          
  0.63926 	0          	0          	0          	0          	1          
  0.63959 	0          	0          	0          	0          	1          
  0.63992 	0          	0          	0          	0          	1          
  0.64025 	0          	0          	0          	0          	1          
  0.64058 	0          	0          	0          	0          	1          
  0.64091 	0          	0          	0          	0          	1          
  0.64124 	0          	0          	0          	0          	1          
  0.64157 	0          	0          	0          	0          	1          
  0.6419  	0          	0          	0          	0          	1          
  0.64223 	0          	0          	0          	0          	1          
  0.64256 	0          	0          	0          	0          	1          
  0.64289 	0          	0          	0          	0          	1          
  0.64322 	0          	0          	0          	0          	1          
  0.64355 	0          	0          	0          	0          	1          
  0.64388 	0          	0          	0          	0          	1          
  0.64421 	0          	0          	0          	0          	1          
  0.64454 	0          	0          	0          	0          	1          
  0.64487 	0          	0          	0          	0          	1          
  0.6452  	0          	0          	0          	0          	1          
  0.64553 	0          	0          	0          	0          	1          
  0.64586 	0          	0          	0          	0          	1          
  0.64619 	0          	0          	0          	0          	1          
  0.64652 	0          	0          	0          	0          	1          
  0.64685 	0          	0          	0          	0          	1          
  0.64718 	0          	0          	0          	0          	1          
  0.64751 	0          	0          	0          	0          	1          
  0.64784 	0          	0          	0          	0          	1          
  0.64817 	0          	0          	0          	0          	1          
  0.6485  	0          	0          	0          	0          	1          
  0.64883 	0          	0          	0          	0          	1          
  0.64916 	0          	0          	0          	0          	1          
  0.64949 	0          	0          	0          	0          	1          
  0.64982 	0          	0          	0          	0          	1          
  0.65015 	0          	0          	0          	0          	1          
  0.65048 	0          	0          	0          	0          	1          
  0.65081 	0          	0          	0          	0          	1          
  0.65114 	0          	0          	0          	0          	1          
  0.65147 	0          	0          	0          	0          	1          
  0.6518  	0          	0          	0          	0          	1          
  0.65213 	0          	0          	0          	0          	1          
  0.65246 	0          	0          	0          	0          	1          
  0.65279 	0          	0          	0          	0          	1          
  0.65312 	0          	0          	0          	0          	1          
  0.65345 	0          	0          	0          	0          	1          
  0.65378 	0          	0          	0          	0          	1          
  0.65411 	0          	0          	0          	0          	1          
  0.65444 	0          	0          	0          	0          	1          
  0.65477 	0          	0          	0          	0          	1          
  0.6551  	0          	0          	0          	0          	1          
  0.65543 	0          	0          	0          	0          	1          
  0.65576 	0          	0          	0          	0          	1          
  0.65609 	0          	0          	0          	0          	1          
  0.65642 	0          	0          	0          	0          	1          
  0.65675 	0          	0          	0          	0          	1          
  0.65708 	0          	0          	0          	0          	1          
  0.65741 	0          	0          	0          	0          	1          
  0.65774 	0          	0          	0          	0          	1          
  0.65807 	0          	0          	0          	0          	1          
  0.6584  	0          	0          	0          	0          	1          
  0.65873 	0          	0          	0          	0          	1          
  0.65906 	0          	0          	0          	0          	1          
  0.65939 	0          	0          	0          	0          	1          
  0.65972 	0          	0          	0          	0          	1          
  0.66005 	0          	0          	0          	0          	1          
  0.66038 	0          	0          	0          	0          	1          
  0.66071 	0          	0          	0          	0          	1          
  0.66104 	0          	0          	0          	0          	1          
  0.66137 	0          	0          	0          	0          	1          
  0.6617  	0          	0          	0          	0          	1          
  0.66203 	0          	0          	0          	0          	1          
  0.66236 	0          	0          	0          	0          	1          
  0.66269 	0          	0          	0          	0          	1          
  0.66302 	0          	0          	0          	0          	1          
  0.66335 	0          	0          	0          	0          	1          
  0.66368 	0          	0          	0          	0          	1          
  0.66401 	0          	0          	0          	0          	1          
  0.66434 	0          	0          	0          	0          	1          
  0.66467 	0          	0          	0          	0          	1          
  0.665   	0          	0          	0          	0          	1          
  0.66533 	0          	0          	0          	0          	1          
  0.66566 	0          	0          	0          	0          	1          
  0.66599 	0          	0          	0          	0          	1          
  0.66632 	0          	0          	0          	0          	1          
  0.66665 	0          	0          	0          	0          	1          
  0.66698 	0          	0          	0          	0          	1          
  0.66731 	0          	0          	0          	0          	1          
  0.66764 	0          	0          	0          	0          	1          
  0.66797 	0          	0          	0          	0          	1          
  0.6683  	0          	0          	0          	0          	1          
  0.66863 	0          	0          	0          	0          	1          
  0.66896 	0          	0          	0          	0          	1          
  0.66929 	0          	0          	0          	0          	1          
  0.66962 	0          	0          	0          	0          	1          
  0.66995 	0          	0          	0          	0          	1          
  0.67028 	0          	0          	0          	0          	1          
  0.67061 	0          	0          	0          	0          	1          
  0.67094 	0          	0          	0          	0          	1          
  0.67127 	0          	0          	0          	0          	1          
  0.6716  	0          	0          	0          	0          	1          
  0.67193 	0          	0          	0          	0          	1          
  0.67226 	0          	0          	0          	0          	1          
  0.67259 	0          	0          	0          	0          	1          
  0.67292 	0          	0          	0          	0          	1          
  0.67325 	0          	0          	0          	0          	1          
  0.67358 	0          	0          	0          	0          	1          
  0.67391 	0          	0          	0          	0          	1          
  0.67424 	0          	0          	0          	0          	1          
  0.67457 	0          	0          	0          	0          	1          
  0.6749  	0          	0          	0          	0          	1          
  0.67523 	0          	0          	0          	0          	1          
  0.67556 	0          	0          	0          	0          	1          
  0.67589 	0          	0          	0          	0          	1          
  0.67622 	0          	0          	0          	0          	1          
  0.67655 	0          	0          	0          	0          	1          
  0.67688 	0          	0          	0          	0          	1          
  0.67721 	0          	0          	0          	0          	1          
  0.67754 	0          	0          	0          	0          	1          
  0.67787 	0          	0          	0          	0          	1          
  0.6782  	0          	0          	0          	0          	1          
  0.67853 	0          	0          	0          	0          	1          
  0.67886 	0          	0          	0          	0          	1          
  0.67919 	0          	0          	0          	0          	1          
  0.67952 	0          	0          	0          	0          	1          
  0.67985 	0          	0          	0          	0          	1          
  0.68018 	0          	0          	0          	0          	1          
  0.68051 	0          	0          	0          	0          	1          
  0.68084 	0          	0          	0          	0          	1          
  0.68117 	0          	0          	0          	0          	1          
  0.6815  	0          	0          	0          	0          	1          
  0.68183 	0          	0          	0          	0          	1          
  0.68216 	0          	0          	0          	0          	1          
  0.68249 	0          	0          	0          	0          	1          
  0.68282 	0          	0          	0          	0          	1          
  0.68315 	0          	0          	0          	0          	1          
  0.68348 	0          	0          	0          	0          	1          
  0.68381 	0          	0          	0          	0          	1          
  0.68414 	0          	0          	0          	0          	1          
  0.68447 	0          	0          	0          	0          	1          
  0.6848  	0          	0          	0          	0          	1          
