# * COMPONENTS * 
#
# file generated by ** cup.H ** 
#
# a drude model was used for silver
# ------------- 
# ome (eV)	real(eps1)	imag(eps1)	real(eps2)	imag(eps2)
#
  2.4112  	2.10698    	-0.00460535	-10.5503   	0.149878   
  2.4124  	2.10691    	-0.0046321 	-10.5345   	0.149655   
  2.4136  	2.10684    	-0.00465908	-10.5188   	0.149432   
  2.4148  	2.10677    	-0.00468629	-10.5031   	0.149209   
  2.416   	2.1067     	-0.00471374	-10.4874   	0.148987   
  2.4172  	2.10663    	-0.00474142	-10.4717   	0.148765   
  2.4184  	2.10656    	-0.00476935	-10.4561   	0.148544   
  2.4196  	2.10649    	-0.00479752	-10.4404   	0.148323   
  2.4208  	2.10642    	-0.00482594	-10.4248   	0.148102   
  2.422   	2.10634    	-0.00485461	-10.4093   	0.147882   
  2.4232  	2.10627    	-0.00488353	-10.3937   	0.147663   
  2.4244  	2.1062     	-0.00491271	-10.3782   	0.147444   
  2.4256  	2.10613    	-0.00494215	-10.3627   	0.147225   
  2.4268  	2.10605    	-0.00497185	-10.3472   	0.147007   
  2.428   	2.10598    	-0.00500181	-10.3317   	0.146789   
  2.4292  	2.1059     	-0.00503205	-10.3163   	0.146571   
  2.4304  	2.10583    	-0.00506255	-10.3009   	0.146354   
  2.4316  	2.10575    	-0.00509333	-10.2855   	0.146138   
  2.4328  	2.10568    	-0.00512439	-10.2701   	0.145922   
  2.434   	2.1056     	-0.00515573	-10.2548   	0.145706   
  2.4352  	2.10553    	-0.00518735	-10.2394   	0.145491   
  2.4364  	2.10545    	-0.00521926	-10.2241   	0.145276   
  2.4376  	2.10537    	-0.00525146	-10.2088   	0.145061   
  2.4388  	2.10529    	-0.00528396	-10.1936   	0.144847   
  2.44    	2.10521    	-0.00531675	-10.1784   	0.144634   
  2.4412  	2.10514    	-0.00534985	-10.1631   	0.144421   
  2.4424  	2.10506    	-0.00538325	-10.148    	0.144208   
  2.4436  	2.10498    	-0.00541697	-10.1328   	0.143996   
  2.4448  	2.1049     	-0.00545099	-10.1176   	0.143784   
  2.446   	2.10482    	-0.00548533	-10.1025   	0.143572   
  2.4472  	2.10474    	-0.00552   	-10.0874   	0.143361   
  2.4484  	2.10465    	-0.00555499	-10.0723   	0.14315    
  2.4496  	2.10457    	-0.0055903 	-10.0573   	0.14294    
  2.4508  	2.10449    	-0.00562596	-10.0423   	0.14273    
  2.452   	2.10441    	-0.00566194	-10.0272   	0.142521   
  2.4532  	2.10432    	-0.00569827	-10.0123   	0.142312   
  2.4544  	2.10424    	-0.00573495	-9.99728   	0.142103   
  2.4556  	2.10416    	-0.00577197	-9.98234   	0.141895   
  2.4568  	2.10407    	-0.00580935	-9.96741   	0.141687   
  2.458   	2.10399    	-0.00584709	-9.95251   	0.14148    
  2.4592  	2.1039     	-0.00588519	-9.93763   	0.141273   
  2.4604  	2.10381    	-0.00592366	-9.92277   	0.141066   
  2.4616  	2.10373    	-0.0059625 	-9.90793   	0.14086    
  2.4628  	2.10364    	-0.00600172	-9.89312   	0.140654   
  2.464   	2.10355    	-0.00604132	-9.87833   	0.140449   
  2.4652  	2.10346    	-0.00608131	-9.86355   	0.140244   
  2.4664  	2.10338    	-0.00612169	-9.8488    	0.140039   
  2.4676  	2.10329    	-0.00616247	-9.83407   	0.139835   
  2.4688  	2.1032     	-0.00620365	-9.81937   	0.139631   
  2.47    	2.10311    	-0.00624524	-9.80468   	0.139428   
  2.4712  	2.10301    	-0.00628724	-9.79002   	0.139225   
  2.4724  	2.10292    	-0.00632966	-9.77537   	0.139022   
  2.4736  	2.10283    	-0.0063725 	-9.76075   	0.13882    
  2.4748  	2.10274    	-0.00641577	-9.74615   	0.138618   
  2.476   	2.10264    	-0.00645948	-9.73157   	0.138417   
  2.4772  	2.10255    	-0.00650363	-9.71701   	0.138216   
  2.4784  	2.10246    	-0.00654822	-9.70248   	0.138015   
  2.4796  	2.10236    	-0.00659327	-9.68796   	0.137815   
  2.4808  	2.10227    	-0.00663877	-9.67346   	0.137615   
  2.482   	2.10217    	-0.00668474	-9.65899   	0.137415   
  2.4832  	2.10207    	-0.00673118	-9.64454   	0.137216   
  2.4844  	2.10198    	-0.0067781 	-9.6301    	0.137018   
  2.4856  	2.10188    	-0.0068255 	-9.61569   	0.136819   
  2.4868  	2.10178    	-0.00687339	-9.6013    	0.136621   
  2.488   	2.10168    	-0.00692178	-9.58693   	0.136424   
  2.4892  	2.10158    	-0.00697067	-9.57258   	0.136226   
  2.4904  	2.10148    	-0.00702007	-9.55826   	0.13603    
  2.4916  	2.10138    	-0.00706999	-9.54395   	0.135833   
  2.4928  	2.10128    	-0.00712043	-9.52966   	0.135637   
  2.494   	2.10117    	-0.00717141	-9.5154    	0.135441   
  2.4952  	2.10107    	-0.00722292	-9.50115   	0.135246   
  2.4964  	2.10097    	-0.00727498	-9.48693   	0.135051   
  2.4976  	2.10086    	-0.0073276 	-9.47272   	0.134857   
  2.4988  	2.10076    	-0.00738078	-9.45854   	0.134662   
  2.5     	2.10065    	-0.00743452	-9.44437   	0.134469   
  2.5012  	2.10055    	-0.00748885	-9.43023   	0.134275   
  2.5024  	2.10044    	-0.00754376	-9.41611   	0.134082   
  2.5036  	2.10033    	-0.00759926	-9.402     	0.133889   
  2.5048  	2.10022    	-0.00765537	-9.38792   	0.133697   
  2.506   	2.10011    	-0.00771209	-9.37386   	0.133505   
  2.5072  	2.1        	-0.00776942	-9.35982   	0.133314   
  2.5084  	2.09989    	-0.00782739	-9.3458    	0.133122   
  2.5096  	2.09978    	-0.007886  	-9.3318    	0.132932   
  2.5108  	2.09967    	-0.00794525	-9.31781   	0.132741   
  2.512   	2.09956    	-0.00800515	-9.30385   	0.132551   
  2.5132  	2.09944    	-0.00806573	-9.28991   	0.132361   
  2.5144  	2.09933    	-0.00812698	-9.27599   	0.132172   
  2.5156  	2.09922    	-0.00818891	-9.26209   	0.131983   
  2.5168  	2.0991     	-0.00825154	-9.24821   	0.131794   
  2.518   	2.09898    	-0.00831488	-9.23434   	0.131606   
  2.5192  	2.09887    	-0.00837893	-9.2205    	0.131418   
  2.5204  	2.09875    	-0.00844371	-9.20668   	0.13123    
  2.5216  	2.09863    	-0.00850922	-9.19288   	0.131043   
  2.5228  	2.09851    	-0.00857549	-9.17909   	0.130856   
  2.524   	2.09839    	-0.00864251	-9.16533   	0.130669   
  2.5252  	2.09827    	-0.0087103 	-9.15159   	0.130483   
  2.5264  	2.09815    	-0.00877888	-9.13786   	0.130297   
  2.5276  	2.09802    	-0.00884825	-9.12416   	0.130112   
  2.5288  	2.0979     	-0.00891843	-9.11047   	0.129927   
  2.53    	2.09778    	-0.00898942	-9.09681   	0.129742   
  2.5312  	2.09765    	-0.00906125	-9.08316   	0.129558   
  2.5324  	2.09752    	-0.00913392	-9.06953   	0.129373   
  2.5336  	2.0974     	-0.00920744	-9.05593   	0.12919    
  2.5348  	2.09727    	-0.00928184	-9.04234   	0.129006   
  2.536   	2.09714    	-0.00935712	-9.02877   	0.128823   
  2.5372  	2.09701    	-0.00943329	-9.01522   	0.128641   
  2.5384  	2.09688    	-0.00951038	-9.00169   	0.128458   
  2.5396  	2.09675    	-0.00958839	-8.98818   	0.128276   
  2.5408  	2.09662    	-0.00966734	-8.97469   	0.128095   
  2.542   	2.09648    	-0.00974724	-8.96121   	0.127913   
  2.5432  	2.09635    	-0.00982811	-8.94776   	0.127732   
  2.5444  	2.09622    	-0.00990997	-8.93432   	0.127552   
  2.5456  	2.09608    	-0.00999283	-8.92091   	0.127371   
  2.5468  	2.09594    	-0.0100767 	-8.90751   	0.127191   
  2.548   	2.0958     	-0.0101616 	-8.89413   	0.127012   
  2.5492  	2.09567    	-0.0102476 	-8.88077   	0.126833   
  2.5504  	2.09553    	-0.0103346 	-8.86743   	0.126654   
  2.5516  	2.09539    	-0.0104227 	-8.85411   	0.126475   
  2.5528  	2.09524    	-0.0105119 	-8.84081   	0.126297   
  2.554   	2.0951     	-0.0106022 	-8.82752   	0.126119   
  2.5552  	2.09496    	-0.0106936 	-8.81426   	0.125941   
  2.5564  	2.09481    	-0.0107862 	-8.80101   	0.125764   
  2.5576  	2.09467    	-0.01088   	-8.78778   	0.125587   
  2.5588  	2.09452    	-0.010975  	-8.77458   	0.12541    
  2.56    	2.09437    	-0.0110712 	-8.76138   	0.125234   
  2.5612  	2.09422    	-0.0111686 	-8.74821   	0.125058   
  2.5624  	2.09407    	-0.0112673 	-8.73506   	0.124883   
  2.5636  	2.09392    	-0.0113672 	-8.72192   	0.124707   
  2.5648  	2.09377    	-0.0114684 	-8.70881   	0.124532   
  2.566   	2.09362    	-0.011571  	-8.69571   	0.124358   
  2.5672  	2.09346    	-0.0116749 	-8.68263   	0.124184   
  2.5684  	2.09331    	-0.0117801 	-8.66957   	0.12401    
  2.5696  	2.09315    	-0.0118868 	-8.65652   	0.123836   
  2.5708  	2.09299    	-0.0119948 	-8.6435    	0.123663   
  2.572   	2.09283    	-0.0121043 	-8.63049   	0.12349    
  2.5732  	2.09267    	-0.0122152 	-8.6175    	0.123317   
  2.5744  	2.09251    	-0.0123276 	-8.60453   	0.123145   
  2.5756  	2.09235    	-0.0124416 	-8.59158   	0.122973   
  2.5768  	2.09219    	-0.012557  	-8.57864   	0.122801   
  2.578   	2.09202    	-0.012674  	-8.56573   	0.122629   
  2.5792  	2.09186    	-0.0127926 	-8.55283   	0.122458   
  2.5804  	2.09169    	-0.0129128 	-8.53995   	0.122288   
  2.5816  	2.09152    	-0.0130347 	-8.52709   	0.122117   
  2.5828  	2.09135    	-0.0131582 	-8.51424   	0.121947   
  2.584   	2.09118    	-0.0132834 	-8.50142   	0.121777   
  2.5852  	2.09101    	-0.0134104 	-8.48861   	0.121608   
  2.5864  	2.09084    	-0.0135391 	-8.47582   	0.121439   
  2.5876  	2.09066    	-0.0136696 	-8.46304   	0.12127    
  2.5888  	2.09049    	-0.013802  	-8.45029   	0.121101   
  2.59    	2.09031    	-0.0139361 	-8.43755   	0.120933   
  2.5912  	2.09013    	-0.0140722 	-8.42483   	0.120765   
  2.5924  	2.08996    	-0.0142102 	-8.41213   	0.120597   
  2.5936  	2.08977    	-0.0143502 	-8.39944   	0.12043    
  2.5948  	2.08959    	-0.0144922 	-8.38678   	0.120263   
  2.596   	2.08941    	-0.0146362 	-8.37413   	0.120096   
  2.5972  	2.08922    	-0.0147822 	-8.36149   	0.11993    
  2.5984  	2.08904    	-0.0149304 	-8.34888   	0.119764   
  2.5996  	2.08885    	-0.0150807 	-8.33628   	0.119598   
  2.6008  	2.08866    	-0.0152332 	-8.3237    	0.119433   
  2.602   	2.08847    	-0.0153879 	-8.31114   	0.119267   
  2.6032  	2.08828    	-0.0155449 	-8.2986    	0.119103   
  2.6044  	2.08809    	-0.0157042 	-8.28607   	0.118938   
  2.6056  	2.0879     	-0.0158659 	-8.27356   	0.118774   
  2.6068  	2.0877     	-0.01603   	-8.26107   	0.11861    
  2.608   	2.0875     	-0.0161965 	-8.24859   	0.118446   
  2.6092  	2.0873     	-0.0163654 	-8.23613   	0.118283   
  2.6104  	2.08711    	-0.016537  	-8.22369   	0.11812    
  2.6116  	2.0869     	-0.0167111 	-8.21127   	0.117957   
  2.6128  	2.0867     	-0.0168878 	-8.19886   	0.117795   
  2.614   	2.0865     	-0.0170672 	-8.18647   	0.117633   
  2.6152  	2.08629    	-0.0172494 	-8.1741    	0.117471   
  2.6164  	2.08609    	-0.0174343 	-8.16174   	0.117309   
  2.6176  	2.08588    	-0.0176221 	-8.1494    	0.117148   
  2.6188  	2.08567    	-0.0178128 	-8.13708   	0.116987   
  2.62    	2.08546    	-0.0180065 	-8.12477   	0.116826   
  2.6212  	2.08524    	-0.0182031 	-8.11249   	0.116666   
  2.6224  	2.08503    	-0.0184028 	-8.10021   	0.116506   
  2.6236  	2.08481    	-0.0186057 	-8.08796   	0.116346   
  2.6248  	2.0846     	-0.0188117 	-8.07572   	0.116187   
  2.626   	2.08438    	-0.019021  	-8.0635    	0.116027   
  2.6272  	2.08416    	-0.0192336 	-8.0513    	0.115868   
  2.6284  	2.08394    	-0.0194496 	-8.03911   	0.11571    
  2.6296  	2.08371    	-0.0196691 	-8.02694   	0.115552   
  2.6308  	2.08349    	-0.0198921 	-8.01479   	0.115393   
  2.632   	2.08326    	-0.0201186 	-8.00265   	0.115236   
  2.6332  	2.08303    	-0.0203489 	-7.99053   	0.115078   
  2.6344  	2.08281    	-0.0205829 	-7.97842   	0.114921   
  2.6356  	2.08258    	-0.0208206 	-7.96634   	0.114764   
  2.6368  	2.08234    	-0.0210623 	-7.95426   	0.114608   
  2.638   	2.08211    	-0.021308  	-7.94221   	0.114451   
  2.6392  	2.08187    	-0.0215577 	-7.93017   	0.114295   
  2.6404  	2.08164    	-0.0218115 	-7.91815   	0.114139   
  2.6416  	2.0814     	-0.0220696 	-7.90614   	0.113984   
  2.6428  	2.08116    	-0.0223319 	-7.89415   	0.113829   
  2.644   	2.08092    	-0.0225987 	-7.88218   	0.113674   
  2.6452  	2.08068    	-0.0228699 	-7.87022   	0.113519   
  2.6464  	2.08043    	-0.0231457 	-7.85828   	0.113365   
  2.6476  	2.08019    	-0.0234262 	-7.84636   	0.113211   
  2.6488  	2.07994    	-0.0237114 	-7.83445   	0.113057   
  2.65    	2.07969    	-0.0240016 	-7.82256   	0.112904   
  2.6512  	2.07944    	-0.0242967 	-7.81068   	0.11275    
  2.6524  	2.07919    	-0.0245968 	-7.79882   	0.112597   
  2.6536  	2.07894    	-0.0249022 	-7.78698   	0.112445   
  2.6548  	2.07869    	-0.0252128 	-7.77515   	0.112292   
  2.656   	2.07843    	-0.0255288 	-7.76334   	0.11214    
  2.6572  	2.07818    	-0.0258503 	-7.75155   	0.111988   
  2.6584  	2.07792    	-0.0261775 	-7.73977   	0.111837   
  2.6596  	2.07766    	-0.0265104 	-7.728     	0.111685   
  2.6608  	2.0774     	-0.0268492 	-7.71626   	0.111534   
  2.662   	2.07714    	-0.027194  	-7.70453   	0.111384   
  2.6632  	2.07688    	-0.0275449 	-7.69281   	0.111233   
  2.6644  	2.07662    	-0.027902  	-7.68111   	0.111083   
  2.6656  	2.07635    	-0.0282655 	-7.66943   	0.110933   
  2.6668  	2.07609    	-0.0286356 	-7.65776   	0.110783   
  2.668   	2.07582    	-0.0290122 	-7.6461    	0.110634   
  2.6692  	2.07555    	-0.0293957 	-7.63447   	0.110485   
  2.6704  	2.07529    	-0.0297861 	-7.62285   	0.110336   
  2.6716  	2.07502    	-0.0301836 	-7.61124   	0.110187   
  2.6728  	2.07475    	-0.0305884 	-7.59965   	0.110039   
  2.674   	2.07448    	-0.0310005 	-7.58808   	0.109891   
  2.6752  	2.07421    	-0.0314202 	-7.57652   	0.109743   
  2.6764  	2.07394    	-0.0318476 	-7.56497   	0.109596   
  2.6776  	2.07366    	-0.0322829 	-7.55345   	0.109448   
