# * STATIC * 
#
# file generated by ** cup.H ** 
#
# PARAMETERS: 
# G = 0.114758
# a drude model was used for silver
# ------------- 
# ome (eV)	real(alph)	imag(alph)
#
  2.2354  	-102.713   	-33.4853   
  2.23552 	-101.082   	-32.2974   
  2.23564 	-99.4961   	-31.1684   
  2.23576 	-97.9527   	-30.0944   
  2.23588 	-96.4506   	-29.0722   
  2.236   	-94.9887   	-28.0984   
  2.23612 	-93.5656   	-27.1702   
  2.23624 	-92.18     	-26.2849   
  2.23636 	-90.8307   	-25.4399   
  2.23648 	-89.5166   	-24.6328   
  2.2366  	-88.2365   	-23.8614   
  2.23672 	-86.9892   	-23.1238   
  2.23684 	-85.7737   	-22.418    
  2.23696 	-84.5889   	-21.7422   
  2.23708 	-83.4338   	-21.0949   
  2.2372  	-82.3074   	-20.4744   
  2.23732 	-81.2088   	-19.8793   
  2.23744 	-80.137    	-19.3082   
  2.23756 	-79.0912   	-18.76     
  2.23768 	-78.0706   	-18.2334   
  2.2378  	-77.0743   	-17.7273   
  2.23792 	-76.1014   	-17.2407   
  2.23804 	-75.1514   	-16.7726   
  2.23816 	-74.2234   	-16.3221   
  2.23828 	-73.3168   	-15.8883   
  2.2384  	-72.4308   	-15.4704   
  2.23852 	-71.5649   	-15.0677   
  2.23864 	-70.7183   	-14.6794   
  2.23876 	-69.8905   	-14.3049   
  2.23888 	-69.0809   	-13.9435   
  2.239   	-68.289    	-13.5947   
  2.23912 	-67.5142   	-13.2578   
  2.23924 	-66.756    	-12.9323   
  2.23936 	-66.0139   	-12.6178   
  2.23948 	-65.2874   	-12.3137   
  2.2396  	-64.576    	-12.0195   
  2.23972 	-63.8794   	-11.735    
  2.23984 	-63.197    	-11.4595   
  2.23996 	-62.5285   	-11.1929   
  2.24008 	-61.8735   	-10.9346   
  2.2402  	-61.2315   	-10.6844   
  2.24032 	-60.6023   	-10.4419   
  2.24044 	-59.9854   	-10.2068   
  2.24056 	-59.3805   	-9.97888   
  2.24068 	-58.7873   	-9.75774   
  2.2408  	-58.2055   	-9.54317   
  2.24092 	-57.6347   	-9.3349    
  2.24104 	-57.0746   	-9.13269   
  2.24116 	-56.525    	-8.93631   
  2.24128 	-55.9856   	-8.74554   
  2.2414  	-55.456    	-8.56017   
  2.24152 	-54.9362   	-8.37999   
  2.24164 	-54.4257   	-8.20482   
  2.24176 	-53.9243   	-8.03447   
  2.24188 	-53.4319   	-7.86877   
  2.242   	-52.9481   	-7.70756   
  2.24212 	-52.4728   	-7.55066   
  2.24224 	-52.0058   	-7.39793   
  2.24236 	-51.5468   	-7.24923   
  2.24248 	-51.0956   	-7.1044    
  2.2426  	-50.6521   	-6.96333   
  2.24272 	-50.2161   	-6.82588   
  2.24284 	-49.7873   	-6.69193   
  2.24296 	-49.3657   	-6.56136   
  2.24308 	-48.951    	-6.43407   
  2.2432  	-48.543    	-6.30993   
  2.24332 	-48.1417   	-6.18885   
  2.24344 	-47.7468   	-6.07073   
  2.24356 	-47.3582   	-5.95547   
  2.24368 	-46.9758   	-5.84299   
  2.2438  	-46.5994   	-5.73319   
  2.24392 	-46.2288   	-5.62599   
  2.24404 	-45.8641   	-5.52131   
  2.24416 	-45.5049   	-5.41907   
  2.24428 	-45.1512   	-5.31919   
  2.2444  	-44.8029   	-5.22161   
  2.24452 	-44.4598   	-5.12625   
  2.24464 	-44.1219   	-5.03305   
  2.24476 	-43.789    	-4.94194   
  2.24488 	-43.461    	-4.85287   
  2.245   	-43.1378   	-4.76576   
  2.24512 	-42.8194   	-4.68057   
  2.24524 	-42.5055   	-4.59724   
  2.24536 	-42.1961   	-4.51571   
  2.24548 	-41.8912   	-4.43594   
  2.2456  	-41.5906   	-4.35787   
  2.24572 	-41.2942   	-4.28145   
  2.24584 	-41.0019   	-4.20665   
  2.24596 	-40.7137   	-4.13341   
  2.24608 	-40.4295   	-4.06169   
  2.2462  	-40.1492   	-3.99145   
  2.24632 	-39.8727   	-3.92266   
  2.24644 	-39.6      	-3.85526   
  2.24656 	-39.3309   	-3.78923   
  2.24668 	-39.0655   	-3.72452   
  2.2468  	-38.8035   	-3.66111   
  2.24692 	-38.545    	-3.59896   
  2.24704 	-38.2899   	-3.53803   
  2.24716 	-38.0382   	-3.47829   
